Shots,Value,Probability,Qubits Measured
8192,"0000",0.117431640625,"0,1,2,3"
8192,"0001",0.3670654296875,"0,1,2,3"
8192,"0010",0.053466796875,"0,1,2,3"
8192,"0011",0.35498046875,"0,1,2,3"
8192,"0100",0.0087890625,"0,1,2,3"
8192,"0101",0.0142822265625,"0,1,2,3"
8192,"0110",0.0028076171875,"0,1,2,3"
8192,"0111",0.0152587890625,"0,1,2,3"
8192,"1000",0.0120849609375,"0,1,2,3"
8192,"1001",0.01806640625,"0,1,2,3"
8192,"1010",0.004638671875,"0,1,2,3"
8192,"1011",0.0208740234375,"0,1,2,3"
8192,"1100",0.0023193359375,"0,1,2,3"
8192,"1101",0.0035400390625,"0,1,2,3"
8192,"1110",0.000732421875,"0,1,2,3"
8192,"1111",0.003662109375,"0,1,2,3"
